OCC_TITLE	H_MEAN
Mining and Geological Engineers, Including Mining Safety Engineers	52.37
Mining and Geological Engineers, Including Mining Safety Engineers	52.37
Nuclear Engineers	64.89
Nuclear Engineers	64.89
Petroleum Engineers	73.83
Petroleum Engineers	73.83
Miscellaneous Engineers	58.52
Engineers, All Other	58.52
Drafters, Engineering Technicians, and Mapping Technicians	34.39
Drafters	34.02
Architectural and Civil Drafters	33.11
Electrical and Electronics Drafters	37.48
Mechanical Drafters	35.59
Drafters, All Other	31.99
Engineering Technologists and Technicians, Except Drafters	35.63
Aerospace Engineering and Operations Technologists and Technicians	41.50
Civil Engineering Technologists and Technicians	32.91
Electrical and Electronic Engineering Technologists and Technicians	37.78
Electro-Mechanical and Mechatronics Technologists and Technicians	36.40
Environmental Engineering Technologists and Technicians	30.32
Industrial Engineering Technologists and Technicians	33.55
Mechanical Engineering Technologists and Technicians	34.83
Calibration Technologists and Technicians	34.18
Engineering Technologists and Technicians, Except Drafters, All Other	38.34
Surveying and Mapping Technicians	27.35
Surveying and Mapping Technicians	27.35
Life, Physical, and Social Science Occupations	43.12
Life Scientists	49.03
Agricultural and Food Scientists	42.59
Animal Scientists	50.47
Food Scientists and Technologists	44.32
Soil and Plant Scientists	39.92
Biological Scientists	48.43
Biochemists and Biophysicists	55.56
Microbiologists	45.77
Zoologists and Wildlife Biologists	37.46
Biological Scientists, All Other	48.29
Conservation Scientists and Foresters	35.77
Conservation Scientists	35.73
Foresters	35.90
Medical Scientists	53.57
Epidemiologists	45.27
Medical Scientists, Except Epidemiologists	54.18
Miscellaneous Life Scientists	49.01
Life Scientists, All Other	49.01
Physical Scientists	50.03
Astronomers and Physicists	78.77
Astronomers	64.63
Physicists	79.81
Atmospheric and Space Scientists	49.99
Atmospheric and Space Scientists	49.99
Chemists and Materials Scientists	46.80
Chemists	46.13
Materials Scientists	53.56
Environmental Scientists and Geoscientists	45.02
Environmental Scientists and Specialists, Including Health	42.62
Geoscientists, Except Hydrologists and Geographers	53.52
Hydrologists	47.18
Miscellaneous Physical Scientists	59.17
Physical Scientists, All Other	59.17
Social Scientists and Related Workers	48.70
Economists	62.94
Economists	62.94
Survey Researchers	35.32
Survey Researchers	35.32
Psychologists	49.09
Industrial-Organizational Psychologists	64.62
Clinical and Counseling Psychologists	51.37
School Psychologists	45.01
Psychologists, All Other	53.53
Sociologists	53.69
Sociologists	53.69
Urban and Regional Planners	43.14
Urban and Regional Planners	43.14
Miscellaneous Social Scientists and Related Workers	49.44
Anthropologists and Archeologists	34.17
Geographers	47.19
Historians	37.73
Political Scientists	66.15
Social Scientists and Related Workers, All Other	51.17
Life, Physical, and Social Science Technicians	29.42
Agricultural and Food Science Technicians	25.01
Agricultural Technicians	23.88
Food Science Technicians	26.15
Biological Technicians	27.89
Biological Technicians	27.89
Chemical Technicians	29.47
Chemical Technicians	29.47
Environmental Science and Geoscience Technicians	27.63
Environmental Science and Protection Technicians, Including Health	27.29
Geological Technicians, Except Hydrologic Technicians	27.99
Hydrologic Technicians	30.97
Nuclear Technicians	48.43
Nuclear Technicians	48.43
Social Science Research Assistants	30.56
Social Science Research Assistants	30.56
Forest and Conservation Technicians	27.24
Forest and Conservation Technicians	27.24
Miscellaneous Life, Physical, and Social Science Technicians	32.17
Forensic Science Technicians	36.18
Life, Physical, and Social Science Technicians, All Other	31.08
Occupational Health and Safety Specialists and Technicians	40.27
Occupational Health and Safety Specialists and Technicians	40.27
Occupational Health and Safety Specialists	42.63
Occupational Health and Safety Technicians	30.67
Community and Social Service Occupations	30.31
